time,value,raw_value
2025-06-19 10:04:54.202 UTC,Brake pedal released,0
2025-06-19 10:04:54.302 UTC,Brake pedal released,0
2025-06-19 10:04:54.402 UTC,Brake pedal released,0
2025-06-19 10:04:54.502 UTC,Brake pedal released,0
2025-06-19 10:04:54.602 UTC,Brake pedal depressed,1
2025-06-19 10:04:54.702 UTC,Brake pedal depressed,1
2025-06-19 10:04:54.802 UTC,Brake pedal depressed,1
2025-06-19 10:04:54.902 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.002 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.102 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.203 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.303 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.403 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.503 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.602 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.702 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.802 UTC,Brake pedal depressed,1
2025-06-19 10:04:55.902 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.003 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.102 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.202 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.303 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.402 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.503 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.603 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.702 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.802 UTC,Brake pedal depressed,1
2025-06-19 10:04:56.902 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.002 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.102 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.203 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.303 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.403 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.503 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.603 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.702 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.802 UTC,Brake pedal depressed,1
2025-06-19 10:04:57.902 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.002 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.102 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.202 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.303 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.402 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.502 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.603 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.702 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.802 UTC,Brake pedal depressed,1
2025-06-19 10:04:58.903 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.002 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.103 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.202 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.303 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.402 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.502 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.604 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.703 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.804 UTC,Brake pedal depressed,1
2025-06-19 10:04:59.903 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.003 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.104 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.203 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.303 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.403 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.503 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.603 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.703 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.803 UTC,Brake pedal depressed,1
2025-06-19 10:05:00.903 UTC,Brake pedal depressed,1
2025-06-19 10:05:01.003 UTC,Brake pedal released,0
2025-06-19 10:05:01.103 UTC,Brake pedal released,0
2025-06-19 10:05:01.204 UTC,Brake pedal released,0
2025-06-19 10:05:01.303 UTC,Brake pedal released,0
2025-06-19 10:05:01.403 UTC,Brake pedal released,0
2025-06-19 10:05:01.503 UTC,Brake pedal released,0
2025-06-19 10:05:01.603 UTC,Brake pedal released,0
2025-06-19 10:05:01.703 UTC,Brake pedal released,0
2025-06-19 10:05:01.803 UTC,Brake pedal released,0
2025-06-19 10:05:01.903 UTC,Brake pedal released,0
2025-06-19 10:05:02.003 UTC,Brake pedal released,0
2025-06-19 10:05:02.103 UTC,Brake pedal released,0
2025-06-19 10:05:02.203 UTC,Brake pedal released,0
2025-06-19 10:05:02.303 UTC,Brake pedal released,0
2025-06-19 10:05:02.403 UTC,Brake pedal released,0
2025-06-19 10:05:02.504 UTC,Brake pedal released,0
2025-06-19 10:05:02.603 UTC,Brake pedal released,0
2025-06-19 10:05:02.703 UTC,Brake pedal released,0
2025-06-19 10:05:02.803 UTC,Brake pedal released,0
2025-06-19 10:05:02.903 UTC,Brake pedal released,0
2025-06-19 10:05:03.003 UTC,Brake pedal released,0
2025-06-19 10:05:03.103 UTC,Brake pedal released,0
2025-06-19 10:05:03.203 UTC,Brake pedal released,0
2025-06-19 10:05:03.304 UTC,Brake pedal released,0
2025-06-19 10:05:03.403 UTC,Brake pedal released,0
2025-06-19 10:05:03.504 UTC,Brake pedal released,0
2025-06-19 10:05:03.604 UTC,Brake pedal released,0
2025-06-19 10:05:03.704 UTC,Brake pedal released,0
2025-06-19 10:05:03.803 UTC,Brake pedal released,0
2025-06-19 10:05:03.903 UTC,Brake pedal released,0
2025-06-19 10:05:04.004 UTC,Brake pedal released,0
2025-06-19 10:05:04.103 UTC,Brake pedal released,0
2025-06-19 10:05:04.203 UTC,Brake pedal released,0
2025-06-19 10:05:04.303 UTC,Brake pedal released,0
2025-06-19 10:05:04.402 UTC,Brake pedal released,0
2025-06-19 10:05:04.503 UTC,Brake pedal released,0
2025-06-19 10:05:04.602 UTC,Brake pedal released,0
2025-06-19 10:05:04.703 UTC,Brake pedal released,0
2025-06-19 10:05:04.803 UTC,Brake pedal released,0
2025-06-19 10:05:04.903 UTC,Brake pedal released,0
2025-06-19 10:05:05.004 UTC,Brake pedal released,0
